epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;1638;3020;6996;299
1;1674;3229;6058;299
2;1020;3428;7634;299
3;1650;3182;7754;299
4;1512;3187;8610;299
5;1208;2363;3904;299
6;948;2347;5176;299
7;1118;2584;5290;299
8;1158;2417;4188;299
9;952;2633;5992;299
10;1120;2262;3738;299
11;1206;2642;6594;299
12;1282;2701;6594;299
13;950;2491;6598;299
14;1150;2143;3962;299
15;1240;2158;3872;299
16;1158;2115;3798;299
17;1158;2117;3798;299
18;1158;2100;3674;299
19;1040;2059;3668;299
20;1170;2072;3708;299
21;1164;2111;3802;299
22;1148;2150;3802;299
23;1148;2030;3640;299
24;1128;2007;3758;299
25;1034;1996;3696;299
26;1032;2036;3854;299
27;1034;2011;3640;299
28;1034;1999;3640;299
29;952;1959;3640;299
30;924;1984;3676;299
31;950;1984;3676;299
32;924;2219;5394;299
33;996;2182;5440;299
34;926;1949;3722;299
35;924;1925;3682;299
36;924;1955;3678;299
37;924;1950;3762;299
38;998;1919;3690;299
39;952;1929;3796;299
40;1002;1903;3610;299
41;940;1917;3610;299
42;892;1893;3610;299
43;892;1893;3616;299
44;850;1894;3618;299
45;892;1884;3612;299
46;850;1879;3714;299
47;850;1890;3618;299
48;894;1837;3520;299
49;856;1864;3754;299
50;832;1879;3540;299
51;894;1867;3566;299
52;956;1876;3562;299
53;872;1858;3520;299
54;828;1842;3560;299
55;828;1793;3566;299
56;766;1837;3522;299
57;850;1827;3648;299
58;886;1912;3648;299
59;766;1816;3606;299
60;768;1782;3516;299
61;724;1796;3522;299
62;724;1799;3508;299
63;766;1778;3516;299
64;806;1812;3554;299
65;772;1803;3508;299
66;648;1796;3568;299
67;728;1781;3816;299
68;776;1846;3794;299
69;766;1782;3508;299
70;648;1765;3508;299
71;644;1751;3508;299
72;692;1730;3558;299
73;730;1755;3554;299
74;778;1787;3594;299
75;690;1759;3636;299
76;690;1718;3794;299
77;644;1742;3550;299
78;1000;1790;3456;299
79;938;1804;3364;299
80;814;1721;3368;299
81;734;1758;3368;299
82;770;1797;3368;299
83;738;1777;3364;299
84;726;1761;3330;299
85;766;1718;3330;299
86;772;1715;3360;299
87;772;1743;3332;299
88;734;1756;3438;299
89;848;1775;3666;299
90;644;1709;3370;299
91;644;1671;3330;299
92;644;1718;3330;299
93;684;1691;3576;299
94;850;1715;3412;299
95;850;1715;3330;299
96;644;1690;3454;299
97;688;1722;3414;299
98;644;1692;3302;299
99;644;1721;3330;299
