epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;1042;2955;10440;89
1;1326;5038;10694;89
2;1172;3576;10366;89
3;1128;3845;12854;89
4;1090;2591;9214;89
5;1326;2382;5086;89
6;1082;2848;9890;89
7;1256;2094;5278;89
8;1218;2382;5670;89
9;1194;2738;9564;89
10;1130;2707;9452;89
11;1056;2682;9388;89
12;1224;2725;9258;89
13;1102;1921;5016;89
14;1104;1883;5012;89
15;1268;1976;5132;89
16;1094;1934;5086;89
17;1022;1932;5028;89
18;1154;2004;5036;89
19;1198;1958;4922;89
20;1180;1962;5140;89
21;1176;2022;5060;89
22;1112;2028;4838;89
23;1052;1907;4728;89
24;1192;2020;4896;89
25;1112;2037;4858;89
26;1274;2025;4938;89
27;1276;2033;4954;89
28;1230;1953;4902;89
29;1212;1954;4778;89
30;1312;1964;4666;89
31;1156;2050;5044;89
32;1314;2044;5018;89
33;1012;1955;4914;89
34;1242;2011;4852;89
35;1188;2007;5014;89
36;1076;1973;5054;89
37;1278;2020;5102;89
38;1272;2009;5146;89
39;1160;2011;5224;89
40;1116;2078;5388;89
41;1180;2073;5422;89
42;1160;2080;5374;89
43;1222;2029;5042;89
44;1314;2049;5010;89
45;1358;2165;5296;89
46;1292;2113;4842;89
47;920;1991;5006;89
48;922;2055;4972;89
49;1140;2002;4874;89
50;1164;2004;4748;89
51;1208;2005;4798;89
52;1304;1974;4688;89
53;1086;2041;5104;89
54;1138;1970;4774;89
55;1246;1935;4900;89
56;1240;1983;5026;89
57;1088;1917;4960;89
58;1236;1991;4980;89
59;1048;1969;5194;89
60;1380;2089;5336;89
61;1254;2077;5420;89
62;1172;1962;5036;89
63;1140;1963;4838;89
64;1252;2010;5128;89
65;1088;2032;4962;89
66;1090;2014;4926;89
67;1044;1959;4836;89
68;1258;1989;4754;89
69;1248;1968;5038;89
70;1342;2137;5312;89
71;1188;2127;4844;89
72;1188;2068;5334;89
73;1134;2074;5234;89
74;1086;2056;5420;89
75;1090;2044;4672;89
76;1278;2026;5000;89
77;1216;2046;4972;89
78;1046;2085;4822;89
79;1260;2081;5040;89
80;1404;2146;4752;89
81;1126;2025;4864;89
82;1052;1983;5088;89
83;1098;1912;4754;89
84;1320;1991;4750;89
85;1222;1995;4920;89
86;1118;2023;4754;89
87;1124;2094;4760;89
88;1046;2015;4666;89
89;1092;2022;4676;89
90;1144;2085;4792;89
91;920;2006;4796;89
92;1092;1989;4934;89
93;1010;2033;4972;89
94;1060;2044;5188;89
95;1218;2057;5046;89
96;1092;2044;4916;89
97;1088;2027;4950;89
98;960;2033;4940;89
99;1108;2031;4928;89
