epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;726;889;970;72615
1;492;706;942;72615
2;538;634;800;72615
3;494;570;752;72615
4;416;534;756;72615
5;486;558;724;72615
6;496;555;750;72615
7;462;530;684;72615
8;426;530;674;72615
9;420;534;708;72615
10;422;501;654;72615
11;418;494;604;72615
12;416;488;648;72615
13;420;481;616;72615
14;380;503;668;72615
15;418;493;628;72615
16;398;466;536;72615
17;390;460;538;72615
18;422;487;608;72615
19;416;490;646;72615
20;396;481;548;72615
21;422;498;642;72615
22;420;506;618;72615
23;380;472;588;72615
24;390;458;508;72615
25;386;457;546;72615
26;396;448;542;72615
27;414;482;618;72615
28;366;448;538;72615
29;358;453;550;72615
30;412;458;504;72615
31;362;435;498;72615
32;358;438;498;72615
33;354;432;506;72615
34;340;420;496;72615
35;362;437;508;72615
36;354;438;542;72615
37;326;422;518;72615
38;342;432;522;72615
39;342;440;524;72615
40;364;424;510;72615
41;346;425;526;72615
42;346;418;544;72615
43;360;424;510;72615
44;326;432;590;72615
45;324;413;504;72615
46;324;413;504;72615
47;344;415;512;72615
48;354;432;502;72615
49;356;432;556;72615
50;364;420;516;72615
51;364;428;508;72615
52;364;426;540;72615
53;360;417;520;72615
54;324;388;428;72615
55;356;403;434;72615
56;356;434;546;72615
57;362;412;468;72615
58;394;418;470;72615
59;366;408;464;72615
60;324;391;428;72615
61;328;390;434;72615
62;334;385;440;72615
63;338;400;446;72615
64;342;392;438;72615
65;352;388;428;72615
66;332;398;434;72615
67;336;378;422;72615
68;356;402;470;72615
69;330;392;484;72615
70;324;409;476;72615
71;328;380;446;72615
72;358;389;424;72615
73;366;394;426;72615
74;328;384;448;72615
75;332;398;442;72615
76;324;387;434;72615
77;334;400;488;72615
78;322;410;466;72615
79;328;386;426;72615
80;334;389;432;72615
81;336;408;480;72615
82;328;394;460;72615
83;340;407;478;72615
84;334;395;448;72615
85;326;374;406;72615
86;340;388;448;72615
87;332;401;484;72615
88;346;402;478;72615
89;328;400;484;72615
90;326;377;432;72615
91;336;412;530;72615
92;340;406;510;72615
93;340;395;476;72615
94;324;376;450;72615
95;328;402;486;72615
96;324;391;480;72615
97;330;401;478;72615
98;334;376;442;72615
99;344;397;488;72615
