epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;218;248;258;3495
1;216;248;256;3495
2;214;248;260;3495
3;224;251;260;3495
4;214;250;264;3495
5;220;250;262;3495
6;220;251;260;3495
7;214;240;260;3495
8;222;256;272;3495
9;210;242;266;3495
10;222;249;270;3495
11;222;256;268;3495
12;222;246;264;3495
13;234;259;272;3495
14;226;248;268;3495
15;210;257;278;3495
16;216;249;274;3495
17;228;260;274;3495
18;216;263;284;3495
19;224;250;270;3495
20;220;250;280;3495
21;220;254;284;3495
22;218;247;272;3495
23;212;253;276;3495
24;210;253;282;3495
25;238;271;284;3495
26;228;256;278;3495
27;212;253;276;3495
28;210;249;278;3495
29;218;253;288;3495
30;216;251;280;3495
31;224;257;280;3495
32;222;258;298;3495
33;218;257;290;3495
34;222;260;304;3495
35;216;257;290;3495
36;210;252;282;3495
37;218;252;282;3495
38;216;248;278;3495
39;216;256;296;3495
40;216;246;274;3495
41;220;259;296;3495
42;230;267;300;3495
43;236;264;304;3495
44;240;284;380;3495
45;240;269;308;3495
46;214;284;396;3495
47;234;303;428;3495
48;222;281;380;3495
49;236;266;290;3495
50;218;269;308;3495
51;222;264;308;3495
52;220;272;300;3495
53;250;299;404;3495
54;234;294;332;3495
55;234;255;282;3495
56;214;255;292;3495
57;210;257;292;3495
58;234;268;284;3495
59;222;266;288;3495
60;228;280;372;3495
61;216;280;388;3495
62;224;264;298;3495
63;222;259;278;3495
64;226;282;326;3495
65;252;282;308;3495
66;236;277;324;3495
67;246;286;342;3495
68;226;312;386;3495
69;228;270;292;3495
70;216;264;302;3495
71;218;268;296;3495
72;220;286;344;3495
73;212;249;292;3495
74;224;274;324;3495
75;226;260;300;3495
76;212;258;308;3495
77;214;268;302;3495
78;224;266;298;3495
79;254;318;396;3495
80;210;258;286;3495
81;210;270;304;3495
82;234;292;376;3495
83;228;293;392;3495
84;216;270;358;3495
85;226;286;396;3495
86;268;296;366;3495
87;236;291;390;3495
88;214;248;278;3495
89;256;300;374;3495
90;256;277;292;3495
91;210;260;300;3495
92;214;250;292;3495
93;244;291;414;3495
94;222;273;338;3495
95;210;245;280;3495
96;214;288;368;3495
97;240;314;374;3495
98;236;317;424;3495
99;220;312;402;3495
