epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;7482;9606;10838;29139
1;8534;10278;11338;29139
2;6376;8622;11338;29139
3;6242;8332;11310;29139
4;6236;8050;10320;29139
5;4966;8518;11570;29139
6;6236;7811;9988;29139
7;7572;9069;11594;29139
8;4990;7577;10656;29139
9;4966;6620;7526;29139
10;4650;7386;8856;29139
11;4528;7017;8942;29139
12;4392;6912;9568;29139
13;4192;6436;11272;29139
14;4404;6052;8988;29139
15;3980;6092;10632;29139
16;3560;5808;9798;29139
17;3220;5801;8448;29139
18;3684;5864;9184;29139
19;4114;5304;6944;29139
20;3206;6544;13464;29139
21;3626;5196;7008;29139
22;3368;6202;10212;29139
23;4872;5556;6386;29139
24;3244;4937;5756;29139
25;3854;5045;6492;29139
26;3854;5019;6492;29139
27;3462;4747;5778;29139
28;3744;4713;5696;29139
29;5050;6360;7676;29139
30;3250;5209;6688;29139
31;3392;5218;6610;29139
32;3210;4798;6510;29139
33;3830;5242;7054;29139
34;3324;4438;5674;29139
35;4476;5365;6278;29139
36;3308;4732;6230;29139
37;3392;4921;6472;29139
38;3466;5112;6400;29139
39;3466;6430;11636;29139
40;3726;5755;10990;29139
41;3248;5062;7904;29139
42;3250;4202;5102;29139
43;3206;5009;7514;29139
44;3206;4270;5102;29139
45;3318;4328;5104;29139
46;3838;4642;6024;29139
47;3838;4546;5104;29139
48;3306;4137;5074;29139
49;3250;4342;5348;29139
50;3172;4040;5286;29139
51;2996;4409;5660;29139
52;3088;4675;9296;29139
53;3178;3920;5158;29139
54;2996;4022;5218;29139
55;3028;4702;9646;29139
56;2996;4593;8968;29139
57;3166;5067;10686;29139
58;3378;4497;5808;29139
59;3118;4357;6576;29139
60;2996;3824;5318;29139
61;3120;4199;5764;29139
62;3044;4032;5012;29139
63;3088;4234;5158;29139
64;3044;4036;5054;29139
65;3046;4584;5738;29139
66;3044;4443;5470;29139
67;2804;4136;5058;29139
68;2850;4052;5728;29139
69;2804;3920;6482;29139
70;2770;4048;5934;29139
71;2770;4290;6252;29139
72;2726;4047;6458;29139
73;2888;4107;6458;29139
74;2730;4667;9434;29139
75;2860;4568;9434;29139
76;3470;4858;8954;29139
77;3104;4634;9018;29139
78;2766;3715;5390;29139
79;2960;3893;5494;29139
80;2898;4491;8636;29139
81;2964;3830;5176;29139
82;2726;4311;8052;29139
83;2916;4698;9520;29139
84;2996;3905;5658;29139
85;2806;3641;5182;29139
86;2726;3754;5176;29139
87;2528;3564;5340;29139
88;2598;3940;6550;29139
89;2814;3751;5014;29139
90;2606;3543;4938;29139
91;2938;3729;4972;29139
92;2814;3711;5074;29139
93;2814;3594;5074;29139
94;2654;3598;5224;29139
95;2816;3920;4848;29139
96;2816;3728;4996;29139
97;2568;3614;4848;29139
98;2492;3504;4932;29139
99;2518;3639;4850;29139
