epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;8734;9494;11012;18251
1;6948;8883;10758;18251
2;7536;9066;10600;18251
3;5276;8585;12372;18251
4;5524;8398;10984;18251
5;7348;8140;8626;18251
6;4644;8376;12234;18251
7;4594;8536;12196;18251
8;5054;7713;10036;18251
9;5830;7945;10042;18251
10;5178;8188;11876;18251
11;6428;9404;10902;18251
12;4568;7649;10604;18251
13;4918;6780;8030;18251
14;7352;8638;11612;18251
15;6288;8306;10182;18251
16;6250;8506;9714;18251
17;7604;8652;10632;18251
18;5558;7937;10250;18251
19;3572;6931;11088;18251
20;5048;6682;9400;18251
21;4994;7101;9294;18251
22;3752;5863;7534;18251
23;4206;7050;10778;18251
24;4140;6690;10836;18251
25;3914;6810;11060;18251
26;5358;6342;8566;18251
27;4996;6470;8668;18251
28;3368;5501;7892;18251
29;3910;6179;7816;18251
30;3768;5136;7128;18251
31;3566;5732;7866;18251
32;4084;5922;8084;18251
33;3648;5157;6734;18251
34;4682;6343;8614;18251
35;4024;6050;9502;18251
36;4404;5845;9122;18251
37;3862;5277;6672;18251
38;3978;5764;7728;18251
39;4048;6135;7436;18251
40;3212;5374;7762;18251
41;5112;5921;8062;18251
42;3460;5970;9574;18251
43;4606;6583;11010;18251
44;6116;7510;10812;18251
45;4936;6218;9172;18251
46;3638;6199;10706;18251
47;3172;6015;9878;18251
48;3340;5941;9766;18251
49;4756;6183;8034;18251
