epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;6290;7998;9052;33148
1;5726;8070;9504;33148
2;7956;8762;9684;33148
3;6978;9053;10748;33148
4;7274;8920;9984;33148
5;6680;8900;12834;33148
6;6272;7495;9370;33148
7;8056;9274;10590;33148
8;7536;8998;10886;33148
9;7768;8734;9672;33148
10;6794;9945;12780;33148
11;6534;8295;10740;33148
12;5470;9041;11480;33148
13;6116;8794;11298;33148
14;6084;9031;11114;33148
15;6184;9819;15312;33148
16;5840;9269;13120;33148
17;8240;9255;10662;33148
18;5540;9222;11578;33148
19;5202;9278;10804;33148
20;7094;8677;10130;33148
21;7668;8951;10308;33148
22;5804;8900;12100;33148
23;6946;8936;11404;33148
24;6272;8920;11202;33148
25;7092;8738;9736;33148
26;6316;7943;9378;33148
27;7322;9644;11538;33148
28;7142;8712;10092;33148
29;5744;9477;12228;33148
30;8506;10097;11628;33148
31;7398;8972;13296;33148
32;5796;9035;11890;33148
33;7084;8295;9640;33148
34;6066;7498;9216;33148
35;6318;8827;11358;33148
36;5392;8568;10324;33148
37;4938;9009;10356;33148
38;5746;9280;12078;33148
39;6576;8455;11156;33148
40;6568;9605;11868;33148
41;6234;7577;8910;33148
42;6596;9239;12914;33148
43;5262;7857;11070;33148
44;5276;8414;12620;33148
45;6620;8439;11264;33148
46;5596;7765;9908;33148
47;6172;8314;9870;33148
48;6318;8943;11878;33148
49;7768;8983;11388;33148
50;7258;8450;9688;33148
51;7330;8529;10442;33148
52;5564;8887;11556;33148
53;6744;8962;10852;33148
54;5902;8355;10468;33148
55;7562;8851;9854;33148
56;6354;8539;11224;33148
57;6774;9851;13480;33148
58;7784;9369;11374;33148
59;7934;8926;9796;33148
60;6724;9297;12342;33148
61;8852;9859;11546;33148
62;5152;8722;10886;33148
63;6436;7822;9690;33148
64;6078;8328;10806;33148
65;6330;8506;11000;33148
66;7816;9568;11236;33148
67;6180;9048;11562;33148
68;7694;9650;12098;33148
69;7968;10392;12306;33148
70;7964;9716;10430;33148
71;6774;9999;12934;33148
72;6996;8881;11374;33148
73;5832;8200;10182;33148
74;5930;7762;9360;33148
75;5562;8234;10196;33148
76;10020;10975;11912;33148
77;9260;10672;13372;33148
78;7978;10400;12622;33148
79;5158;8685;11920;33148
80;5360;9126;13572;33148
81;6362;8149;12290;33148
82;6144;7858;11082;33148
83;7338;10721;13090;33148
84;6670;8953;10750;33148
85;6418;7780;9874;33148
86;9590;10402;10898;33148
87;7850;9028;11154;33148
88;5614;8174;9974;33148
89;6298;7622;9554;33148
90;6702;7876;8732;33148
91;7304;8286;8966;33148
92;7656;8476;9648;33148
93;8380;8939;9472;33148
94;7444;8352;10248;33148
95;8104;9627;11128;33148
96;7282;9241;10290;33148
97;7044;8367;11180;33148
98;7264;9080;11212;33148
99;7282;8962;10094;33148
