epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;11678;21211;26424;1100
1;16362;19689;25920;1100
2;12518;17511;21414;1100
3;13872;17758;24412;1100
4;11678;16270;24126;1100
5;10128;15602;20898;1100
6;10042;15766;20898;1100
7;10434;15065;17520;1100
8;9976;14652;17372;1100
9;10042;14570;17330;1100
10;10008;14582;17514;1100
11;7694;14051;17554;1100
12;7604;13977;17520;1100
13;7656;13937;17288;1100
14;7728;13962;17418;1100
15;9974;14542;17268;1100
16;10094;14613;17192;1100
17;9974;14523;17522;1100
18;7650;13847;17522;1100
19;7894;13792;17052;1100
20;9944;14149;17052;1100
21;7604;13728;17078;1100
22;7862;13782;17136;1100
23;8354;13793;17136;1100
24;7604;13706;17162;1100
25;7604;13665;17200;1100
26;7604;13742;17388;1100
27;7684;13659;17216;1100
28;7586;13574;17052;1100
29;7586;13631;17344;1100
30;7758;13619;17282;1100
31;7648;13594;17054;1100
32;7650;13574;17118;1100
33;7738;13588;17096;1100
34;7586;13640;17222;1100
35;7770;13646;17358;1100
36;7694;13616;16956;1100
37;7626;13565;16956;1100
38;7652;13559;17066;1100
39;7592;13567;16956;1100
40;7624;13555;16942;1100
41;7588;13596;16986;1100
42;7558;13490;16954;1100
43;7560;13483;16908;1100
44;7646;13504;17162;1100
45;7856;13486;16940;1100
46;7768;13471;17128;1100
47;7708;13511;17000;1100
48;7792;13455;16880;1100
49;7792;13470;17148;1100
50;7634;13517;17088;1100
51;7602;13442;16984;1100
52;7306;13437;16948;1100
53;7616;13419;16948;1100
54;7452;13387;16920;1100
55;7202;13476;16996;1100
56;7306;13466;17064;1100
57;7180;13380;17022;1100
58;7400;13427;16854;1100
59;7362;13436;17596;1100
60;7212;13440;17118;1100
61;7336;13432;17214;1100
62;7214;13369;16910;1100
63;7574;13437;17236;1100
64;7322;13356;17120;1100
65;7180;13372;16992;1100
66;7082;13326;16820;1100
67;7238;13417;17214;1100
68;7048;13316;16954;1100
69;7082;13278;16760;1100
70;7124;13305;16846;1100
71;7048;13379;17232;1100
72;7018;13293;17250;1100
73;7016;13225;16760;1100
74;6984;13228;16912;1100
75;6984;13196;16944;1100
76;7116;13221;16896;1100
77;7144;13263;16800;1100
78;7164;13193;16784;1100
79;7098;13222;16754;1100
80;7162;13191;16756;1100
81;7164;13186;16702;1100
82;7178;13208;16828;1100
83;6984;13167;16724;1100
84;7074;13135;16748;1100
85;7072;13136;16668;1100
86;7108;13169;16750;1100
87;7028;13138;16718;1100
88;6986;13125;16704;1100
89;6984;13126;16606;1100
90;7112;13048;16604;1100
91;7044;13065;16680;1100
92;7070;13059;16598;1100
93;7070;13048;16486;1100
94;7030;13021;16486;1100
95;6988;12981;16402;1100
96;6984;13065;16446;1100
97;7034;12995;16478;1100
98;6984;12963;16448;1100
99;6990;12991;16512;1100
