epochNo;bestPenalty;avgPenalty;worstPenalty;avgExecTimeMs
0;932;2229;3868;221
1;1392;2356;5476;221
2;1056;2253;4626;221
3;1028;1847;3860;221
4;1074;1571;2742;221
5;914;2062;5786;221
6;918;1618;4530;221
7;726;1788;6802;221
8;768;1580;3078;221
9;726;2075;6548;221
10;692;2382;8954;221
11;696;1809;5038;221
12;730;1499;2964;221
13;696;1450;2912;221
14;692;1442;2882;221
15;692;1271;2756;221
16;696;1273;2512;221
17;692;1232;2428;221
18;692;1268;2678;221
19;784;1244;2302;221
20;710;1224;2500;221
21;656;1245;2554;221
22;810;1224;2302;221
23;692;1219;2344;221
24;616;1221;2266;221
25;800;1266;2476;221
26;732;1231;2350;221
27;790;1265;2352;221
28;660;1273;2472;221
29;662;1246;2386;221
30;620;1183;2386;221
31;624;1176;2272;221
32;618;1139;2272;221
33;616;1180;2272;221
34;668;1171;2272;221
35;624;1184;2316;221
36;664;1162;2276;221
37;630;1196;2396;221
38;616;1178;2280;221
39;616;1155;2372;221
40;672;1163;2240;221
41;580;1137;2406;221
42;556;1164;2486;221
43;666;1197;2642;221
44;668;1179;2524;221
45;556;1160;2484;221
46;592;1116;2324;221
47;592;1101;2316;221
48;592;1171;2410;221
49;548;1142;2236;221
50;558;1179;2316;221
51;550;1163;2238;221
52;548;1196;2236;221
53;548;1185;2320;221
54;548;1111;2198;221
55;508;1117;2320;221
56;478;1148;2440;221
57;514;1166;2322;221
58;518;1110;2322;221
59;558;1173;2368;221
60;516;1127;2332;221
61;628;1139;2390;221
62;524;1121;2370;221
63;524;1114;2286;221
64;604;1112;2270;221
65;524;1094;2196;221
66;534;1090;2158;221
67;578;1117;2184;221
68;486;1082;2288;221
69;480;1084;2286;221
70;480;1067;2244;221
71;642;1087;2166;221
72;478;1086;2200;221
73;522;1097;2198;221
74;608;1096;2168;221
75;528;1073;2124;221
76;528;1078;2124;221
77;478;1135;2162;221
78;478;1094;2162;221
79;550;1122;2216;221
80;482;1045;2210;221
81;526;1101;2250;221
82;478;1079;2206;221
83;478;1091;2290;221
84;478;1105;2210;221
85;642;1091;2124;221
86;480;1015;2176;221
87;548;1076;2262;221
88;564;1082;2088;221
89;478;1076;2086;221
90;478;1054;2086;221
91;478;1080;2046;221
92;524;1046;2048;221
93;478;1078;2132;221
94;562;1083;2074;221
95;560;1086;2072;221
96;598;1108;2090;221
97;480;1046;2008;221
98;608;1056;2044;221
99;594;1070;2008;221
